Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country,Pos_sh,Age_sh,90s_sh,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Pos_misc,Age_misc,90s_misc,Fls,Fld,Off,Crs,Int,TklW,Pos_gk,Age_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,match_name,Player_tm,Height,Foot,International matches,Goals,TM_Position,Pos_tm,Value_M,Age_tm
Gerónimo Rulli,GK,34-046,0.0,0,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geronimo rulli,Gerónimo Rulli,"1,89m",right,8.0,0,Goalkeeper,GK,6.0,34
Alessandro Circati,DF,22-268,4.0,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Australia,DF,22-268,4.3,3.0,0.0,0.0,0.69,0.0,0.0,,DF,22-268,4.3,5.0,4.0,0.0,2.0,2.0,7.0,,,,,,,,,,,,,,alessandro circati,Alessandro Circati,"1,91m",right,16.0,1,Centre-Back,DF,12.0,22
Harry Souttar,DF,27-256,4.0,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Australia,DF,27-256,4.3,1.0,1.0,100.0,0.23,0.23,0.0,0.0,DF,27-256,4.3,8.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,harry souttar,Harry Souttar,"1,98m",right,41.0,11,Centre-Back,DF,3.5,27
Patrick Beach,GK,22-333,4.0,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia,GK,22-333,4.3,0.0,0.0,,0.0,0.0,,,GK,22-333,4.3,0.0,0.0,0.0,0.0,0.0,0.0,GK,22-333,4.0,4.0,388.0,4.3,3.0,0.7,17.0,14.0,82.4,2.0,50.0,patrick beach,Patrick Beach,"1,89m",left,5.0,0,Goalkeeper,GK,1.0,22
Aiden O'Neill,MF,28-001,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,28-001,4.0,2.0,0.0,0.0,0.5,0.0,0.0,,MF,28-001,4.0,2.0,8.0,0.0,10.0,2.0,2.0,,,,,,,,,,,,,,aiden oneill,Aiden O'Neill,"1,80m",right,34.0,0,Defensive Midfield,MF,3.0,27
Jordy Bos,"MF,DF",23-249,4.0,4,308.0,3.4,0.0,0.0,1.0,0.0,0.0,0.0,Australia,"MF,DF",23-249,3.4,5.0,2.0,40.0,1.46,0.58,0.0,0.0,"MF,DF",23-249,3.4,4.0,4.0,0.0,8.0,3.0,3.0,,,,,,,,,,,,,,jordan bos,Jordan Bos,"1,80m",left,30.0,4,Left-Back,DF,12.0,23
Connor Metcalfe,MF,26-242,4.0,3,315.0,3.5,1.0,0.0,0.0,0.0,0.29,0.0,Australia,MF,26-242,3.5,5.0,2.0,40.0,1.43,0.57,0.2,0.5,MF,26-242,3.5,1.0,0.0,0.0,8.0,2.0,5.0,,,,,,,,,,,,,,connor metcalfe,Connor Metcalfe,"1,83m",left,39.0,2,Central Midfield,MF,1.5,26
Nestory Irankunda,"FW,MF",20-146,4.0,3,261.0,2.9,1.0,0.0,0.0,0.0,0.34,0.0,Australia,"FW,MF",20-146,2.9,6.0,2.0,33.3,2.07,0.69,0.17,0.5,"FW,MF",20-146,2.9,4.0,5.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,nestory irankunda,Nestory Irankunda,"1,75m",right,18.0,6,Right Winger,FW,8.0,20
Jackson Irvine,MF,33-120,4.0,2,223.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,Australia,MF,33-120,2.5,3.0,1.0,33.3,1.21,0.4,0.0,0.0,MF,33-120,2.5,3.0,3.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,jackson irvine,Jackson Irvine,"1,89m",right,85.0,14,Central Midfield,MF,1.0,33
Aziz Behich,MF,35-201,3.0,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,35-201,2.4,1.0,1.0,100.0,0.41,0.41,0.0,0.0,MF,35-201,2.4,1.0,4.0,0.0,6.0,1.0,4.0,,,,,,,,,,,,,,aziz behich,Aziz Behich,"1,70m",left,86.0,3,Left-Back,DF,0.25,35
Lucas Herrington,DF,18-303,2.0,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia,DF,18-303,2.3,0.0,0.0,,0.0,0.0,,,DF,18-303,2.3,2.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,lucas herrington,Lucas Herrington,"1,93m",right,5.0,0,Centre-Back,DF,4.5,18
Paul Okon-Engstler,MF,21-162,4.0,2,197.0,2.2,0.0,1.0,0.0,0.0,0.0,0.46,Australia,MF,21-162,2.2,0.0,0.0,,0.0,0.0,,,MF,21-162,2.2,3.0,2.0,0.0,2.0,5.0,2.0,,,,,,,,,,,,,,paul okon engstler,Paul Okon-Engstler,"1,85m",left,9.0,0,Defensive Midfield,MF,1.2,21
Jacob Italiano,DF,24-340,2.0,2,163.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Australia,DF,24-340,1.8,1.0,0.0,0.0,0.55,0.0,0.0,,DF,24-340,1.8,0.0,0.0,0.0,8.0,1.0,2.0,,,,,,,,,,,,,,jacob italiano,Jacob Italiano,"1,77m",both,7.0,0,Right-Back,DF,0.6,24
Cristian Volpato,MF,22-232,3.0,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,22-232,1.8,4.0,1.0,25.0,2.25,0.56,0.0,0.0,MF,22-232,1.8,1.0,2.0,0.0,11.0,0.0,1.0,,,,,,,,,,,,,,cristian volpato,Cristian Volpato,"1,87m",left,3.0,0,Attacking Midfield,MF,10.0,22
Cameron Burgess,DF,30-257,2.0,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Australia,DF,30-257,1.5,0.0,0.0,,0.0,0.0,,,DF,30-257,1.5,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,cameron burgess,Cameron Burgess,"1,94m",left,29.0,0,Centre-Back,DF,1.5,30
Nishan Velupillay,MF,25-059,2.0,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,25-059,0.8,0.0,0.0,,0.0,0.0,,,MF,25-059,0.8,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,nishan velupillay,Nishan Velupillay,"1,81m",right,9.0,3,Left Winger,FW,0.65,25
Mathew Leckie,MF,35-151,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,35-151,0.7,1.0,0.0,0.0,1.5,0.0,0.0,,MF,35-151,0.7,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,mathew leckie,Mathew Leckie,"1,81m",right,82.0,14,Left Winger,FW,0.3,35
Ajdin Hrustic,MF,30-000,2.0,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Australia,MF,30-000,0.9,3.0,0.0,0.0,3.38,0.0,0.0,,MF,30-000,0.9,1.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,ajdin hrustic,Ajdin Hrustic,"1,80m",left,38.0,4,Central Midfield,MF,0.6,29
Kai Trewin,"DF,MF",25-048,1.0,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia,"DF,MF",25-048,0.8,1.0,0.0,0.0,1.2,0.0,0.0,,"DF,MF",25-048,0.8,0.0,1.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,kai trewin,Kai Trewin,"1,83m",right,6.0,0,Defensive Midfield,MF,1.8,25
