Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Tarik Muharemovic,DF,23-127,3.0,3,259.0,2.9,0.0,0.0,0.0,1.0,0.0,0.0,Bosnia And Herzegovina
Ivan Šunjić,MF,29-269,4.0,3,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Edin Džeko,FW,40-110,3.0,3,176.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Bosnia And Herzegovina
Benjamin Tahirovic,MF,23-124,4.0,2,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Esmir Bajraktarevic,MF,21-117,4.0,2,230.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Amar Memić,MF,25-166,4.0,2,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Stjepan Radeljić,DF,28-303,2.0,2,180.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Bosnia And Herzegovina
Ivan Bašić,MF,24-066,3.0,2,179.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,Bosnia And Herzegovina
Armin Gigovic,MF,24-090,2.0,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Jovo Lukić,FW,27-219,2.0,1,67.0,0.7,1.0,0.0,1.0,0.0,1.34,0.0,Bosnia And Herzegovina
Arjan Malic,DF,20-311,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Ermin Mahmić,MF,21-113,3.0,0,68.0,0.8,2.0,0.0,1.0,0.0,2.65,0.0,Bosnia And Herzegovina
Samed Baždar,FW,22-155,1.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Dennis Hadžikadunić,DF,27-361,1.0,0,27.0,0.3,0.0,1.0,0.0,0.0,0.0,3.33,Bosnia And Herzegovina
Dženis Burnić,MF,28-044,2.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Haris Tabaković,FW,32-015,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Amir Hadžiahmetović,MF,29-119,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Mladen Jurkas,GK,18-271,0.0,0,,,,,,,,,Bosnia And Herzegovina
Nihad Mujakić,DF,28-081,0.0,0,,,,,,,,,Bosnia And Herzegovina
Martin Zlomislić,GK,27-323,0.0,0,,,,,,,,,Bosnia And Herzegovina
Alisson,GK,33-272,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Gabriel Magalhães,DF,28-194,4.0,4,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0.25,Brazil
Marquinhos,DF,32-048,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
Douglas Santos,DF,32-101,4.0,4,351.0,3.9,0.0,0.0,1.0,0.0,0.0,0.0,Brazil
Vinicius Júnior,FW,25-354,4.0,4,350.0,3.9,4.0,1.0,0.0,0.0,1.03,0.26,Brazil
Bruno Guimarães,MF,28-227,4.0,4,338.0,3.8,0.0,4.0,0.0,0.0,0.0,1.07,Brazil
Casemiro,MF,34-128,4.0,4,289.0,3.2,1.0,0.0,2.0,0.0,0.31,0.0,Brazil
